;state;income;professional;unemployment
161;Alabama;60787.0;36.5;6.4
162;Alabama;39006.0;29.3;7.8
163;Alabama;48125.0;29.0;5.0
164;Alabama;47569.0;24.8;13.0
165;Alabama;75487.0;51.8;5.4
166;Alabama;49745.0;27.0;3.7
167;Alabama;25505.0;15.7;7.0
168;Alabama;36400.0;25.2;6.9
169;Alabama;30893.0;21.7;9.5
170;Alabama;21786.0;7.8;7.8
171;Alabama;55388.0;44.4;3.5
172;Alabama;54918.0;29.5;13.1
173;Alabama;42059.0;27.4;2.4
174;Alabama;61775.0;37.3;5.4
175;Alabama;46375.0;34.7;6.3
176;Alabama;52292.0;25.0;7.2
177;Alabama;50139.0;20.9;5.5
178;Alabama;41105.0;24.6;11.0
179;Alabama;45308.0;21.2;6.0
180;Alabama;50000.0;18.6;4.7
181;Alabama;37788.0;22.4;5.1
182;Alabama;36882.0;27.0;4.3
183;Alabama;33839.0;20.0;4.5
184;Alabama;28994.0;14.8;15.0
185;Alabama;20647.0;15.6;20.4
186;Alabama;32639.0;8.8;19.8
187;Alabama;28962.0;14.7;23.0
188;Alabama;45335.0;18.5;1.6
189;Alabama;36023.0;18.9;9.5
190;Alabama;53629.0;33.1;7.7
191;Alabama;37409.0;21.7;16.2
192;Alabama;40102.0;25.4;10.8
193;Alabama;61282.0;37.1;1.7
194;Alabama;33931.0;43.4;15.5
195;Alabama;32903.0;20.7;16.5
196;Alabama;39979.0;27.6;4.8
197;Alabama;42407.0;27.8;6.8
198;Alabama;34808.0;37.4;11.0
199;Alabama;25520.0;21.8;23.6
200;Alabama;27104.0;16.1;20.1
201;Alabama;41047.0;24.6;7.5
202;Alabama;49500.0;34.1;5.4
203;Alabama;31327.0;23.8;8.9
204;Alabama;40764.0;33.3;2.8
205;Alabama;49375.0;20.3;10.7
206;Alabama;29212.0;28.5;6.4
207;Alabama;42372.0;24.8;5.5
208;Alabama;35326.0;19.6;7.5
209;Alabama;36364.0;32.1;6.0
210;Alabama;35497.0;25.4;8.3
211;Alabama;36756.0;29.5;2.5
212;Alabama;52131.0;24.7;6.1
213;Alabama;43305.0;28.4;2.9
214;Alabama;41358.0;21.7;6.0
215;Alabama;45896.0;25.4;3.8
216;Alabama;55049.0;34.4;6.5
217;Alabama;39068.0;29.4;9.7
218;Alabama;49212.0;45.3;3.2
219;Alabama;38845.0;26.8;6.2
220;Alabama;40359.0;20.3;5.2
221;Alabama;39122.0;39.6;5.3
222;Alabama;37178.0;23.6;2.3
223;Alabama;30694.0;14.3;13.6
224;Alabama;38016.0;29.5;8.9
225;Alabama;47781.0;35.7;3.9
226;Alabama;38798.0;30.5;11.0
227;Alabama;40694.0;25.7;9.1
228;Alabama;65307.0;43.6;16.4
229;Alabama;51596.0;21.9;5.0
230;Alabama;55846.0;29.1;1.4
231;Alabama;45441.0;23.5;3.4
232;Alabama;51364.0;42.1;3.0
233;Alabama;35524.0;32.4;12.8
234;Alabama;16746.0;26.4;19.7
235;Alabama;44732.0;23.6;15.3
236;Alabama;51912.0;31.1;8.7
237;Alabama;55445.0;28.5;11.4
238;Alabama;35781.0;33.6;16.5
239;Alabama;52467.0;15.5;11.1
240;Alabama;44688.0;31.9;11.3
241;Alabama;32644.0;22.5;8.5
242;Alabama;46216.0;28.6;8.6
243;Alabama;35000.0;27.4;9.3
244;Alabama;43864.0;35.9;3.3
245;Alabama;24657.0;29.7;19.1
246;Alabama;15990.0;11.0;30.1
247;Alabama;18654.0;5.8;30.6
248;Alabama;26149.0;31.4;8.1
249;Alabama;51875.0;38.0;4.4
250;Alabama;34152.0;35.4;10.1
251;Alabama;24921.0;38.3;16.4
252;Alabama;29063.0;27.5;14.3
253;Alabama;27000.0;26.0;13.4
254;Alabama;30833.0;16.3;8.6
255;Alabama;24276.0;31.9;16.1
256;Alabama;29425.0;16.3;15.2
257;Alabama;37560.0;24.5;5.2
258;Alabama;32029.0;23.5;11.0
259;Alabama;40125.0;19.6;5.8
260;Alabama;38477.0;25.0;5.0
261;Alabama;43343.0;34.8;3.5
262;Alabama;39417.0;23.4;1.4
263;Alabama;34938.0;15.9;3.1
264;Alabama;38456.0;19.7;2.6
265;Alabama;31861.0;23.8;3.5
266;Alabama;33844.0;13.7;5.0
267;Alabama;46042.0;16.5;4.7
268;Alabama;62212.0;41.1;2.4
269;Alabama;37398.0;29.8;10.8
270;Alabama;42176.0;29.7;8.8
271;Alabama;48587.0;31.2;7.4
272;Alabama;60047.0;26.1;7.4
273;Alabama;60781.0;38.6;2.4
274;Alabama;53086.0;29.5;8.0
275;Alabama;51583.0;27.6;5.2
276;Alabama;34623.0;34.4;10.2
277;Alabama;87722.0;51.7;3.9
278;Alabama;80000.0;34.3;4.1
279;Alabama;45049.0;22.9;18.8
280;Alabama;77037.0;44.8;3.9
281;Alabama;45594.0;29.1;9.1
282;Alabama;46417.0;39.2;2.9
283;Alabama;61193.0;36.3;4.6
284;Alabama;41757.0;30.5;9.5
285;Alabama;49737.0;33.1;10.7
286;Alabama;27392.0;13.8;19.6
287;Alabama;43188.0;26.2;9.5
288;Alabama;50824.0;44.9;5.8
289;Alabama;21131.0;19.3;17.0
290;Alabama;35333.0;26.9;24.4
291;Alabama;39432.0;33.4;3.7
292;Alabama;37103.0;17.9;11.6
293;Alabama;22268.0;20.1;13.0
294;Alabama;39315.0;20.1;18.3
295;Alabama;26559.0;23.6;6.4
296;Alabama;19599.0;14.8;18.8
297;Alabama;57250.0;37.5;5.6
298;Alabama;24316.0;8.6;20.3
299;Alabama;26691.0;16.2;17.5
300;Alabama;17422.0;21.0;15.7
301;Alabama;37404.0;14.6;6.4
302;Alabama;30833.0;17.0;11.1
303;Alabama;24653.0;7.9;8.5
304;Alabama;71583.0;55.3;2.9
305;Alabama;27932.0;44.8;5.2
306;Alabama;31643.0;12.9;21.0
307;Alabama;35045.0;23.1;8.9
308;Alabama;22650.0;21.8;6.9
309;Alabama;37825.0;20.7;15.9
310;Alabama;41250.0;24.7;12.2
311;Alabama;52358.0;26.5;3.2
312;Alabama;44918.0;39.6;6.7
313;Alabama;53740.0;41.0;8.1
314;Alabama;69079.0;44.4;1.7
315;Alabama;55216.0;28.1;10.3
316;Alabama;54357.0;39.8;3.2
317;Alabama;41875.0;26.2;6.5
318;Alabama;50106.0;20.0;2.9
319;Alabama;50478.0;30.5;8.8
320;Alabama;44243.0;31.0;8.1
